top - 00:35:43 up  1:03,  1 user,  load average: 0.83, 0.81, 0.62
    343 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    344 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    345 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    346 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    347 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    348 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    349 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    350 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    351 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    352 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    353 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    354 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    355 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    356 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    357 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    358 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    359 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    360 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    361 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    362 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    363 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    364 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    365 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    366 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    367 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    368 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    369 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    370 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    371 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    372 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    373 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    374 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    375 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    376 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    377 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    378 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    379 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    380 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    381 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    382 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    383 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    384 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    385 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    386 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    387 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    388 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    389 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    390 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    392 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    393 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    394 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    395 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    396 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    397 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    398 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    421 root      20   0       0      0      0 I   0.0   0.0   0:04.47 kworker+
    451 root      20   0       0      0      0 S   0.0   0.0   0:02.47 jbd2/sd+
    452 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    503 root      19  -1   67700  15200  14552 S   0.0   0.4   0:00.80 systemd+
    548 systemd+  20   0   18300   7000   6840 S   0.0   0.2   0:01.62 systemd+
    550 systemd+  20   0   23420   9368   8808 S   0.0   0.3   0:00.21 systemd+
    554 root      20   0   40340   8860   7556 S   0.0   0.3   0:00.43 systemd+
    561 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    852 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    853 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    854 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    870 root     -51   0       0      0      0 S   0.0   0.0   0:17.21 irq/16-+
    874 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    934 avahi     20   0    6776   4352   4132 S   0.0   0.1   0:00.11 avahi-d+
    938 root      20   0    3040   1908   1904 S   0.0   0.1   0:00.02 chronyd+
    941 message+  20   0   11956   7016   4664 S   0.0   0.2   0:00.82 dbus-da+
    960 root      20   0   53268   7740   7640 S   0.0   0.2   0:00.21 network+
    961 polkitd   20   0  397824  11488   8260 S   0.0   0.3   0:00.70 polkitd
    983 root      20   0 1522784  19980   8884 S   0.0   0.6   0:01.49 snapd
    995 root      20   0  320808   7388   7272 S   0.0   0.2   0:00.23 account+
    998 root      20   0   18540   3296   3100 S   0.0   0.1   0:00.04 cron
    999 root      20   0  319388   7412   6868 S   0.0   0.2   0:00.10 switche+
   1015 root      20   0   19124   8060   7716 S   0.0   0.2   0:00.30 systemd+
   1018 root      20   0  544028  12868  11520 S   0.0   0.4   0:00.36 udisksd
   1038 syslog    20   0  220668   4424   3876 S   0.0   0.1   0:00.16 rsyslogd
   1076 avahi     20   0    6592   1356   1284 S   0.0   0.0   0:00.00 avahi-d+
   1096 _chrony   20   0   24464  10304   5808 S   0.0   0.3   0:00.24 chronyd
   1101 root      20   0  347732  16848  15788 S   0.0   0.5   0:00.49 Network+
   1105 root      20   0   18072   5720   4756 S   0.0   0.2   0:00.07 wpa_sup+
   1139 _chrony   20   0   12068   2892   2744 S   0.0   0.1   0:00.00 chronyd
   1147 root      20   0  391020   8436   8056 S   0.0   0.2   0:00.11 ModemMa+
   1523 root      20   0   40724  10544   9920 S   0.0   0.3   0:00.04 cupsd
   1533 root      20   0  132580   9776   9664 S   0.0   0.3   0:00.08 unatten+
   1543 lp        20   0   15440   5984   5980 S   0.0   0.2   0:00.00 dbus
   1545 lp        20   0   15440   5944   5940 S   0.0   0.2   0:00.00 dbus
   1546 lp        20   0   15440   5920   5916 S   0.0   0.2   0:00.00 dbus
   1548 lp        20   0   15440   5992   5988 S   0.0   0.2   0:00.00 dbus
   1555 cups-br+  20   0  208072  20068  16612 S   0.0   0.6   0:00.12 cups-br+
   1574 root      20   0  320552   7264   6760 S   0.0   0.2   0:00.05 power-p+
   1594 root      20   0  396152   9076   8940 S   0.0   0.3   0:00.15 gdm3
   1645 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1688 rtkit     21   1   21900   3576   3368 S   0.0   0.1   0:00.15 rtkit-d+
   1849 colord    20   0  327908  14708  10088 S   0.0   0.4   0:00.16 colord
   1889 root      20   0  329784   9708   8508 S   0.0   0.3   0:00.18 upowerd
   2069 root      20   0  184252   9752   8960 S   0.0   0.3   0:00.02 gdm-ses+
   2087 sathvik+  20   0   23384  11580   9648 S   0.0   0.3   0:00.59 systemd
   2089 sathvik+  20   0   23480   2068   1972 S   0.0   0.1   0:00.00 (sd-pam)
   2109 sathvik+  20   0   10016   6080   4604 S   0.0   0.2   0:00.90 dbus-da+
   2111 sathvik+   9 -11  114900  10128   8192 S   0.0   0.3   2:13.33 pipewire
   2112 sathvik+  20   0   96264   4008   3880 S   0.0   0.1   0:00.00 pipewire
   2115 sathvik+  20   0  194488   9564   9084 S   0.0   0.3   0:00.08 gnome-k+
   2116 sathvik+  20   0    7664   3828   3584 S   0.0   0.1   0:00.03 mpris-p+
   2117 sathvik+   9 -11  417648  13540  11260 S   0.0   0.4   0:01.64 wireplu+
   2118 sathvik+   9 -11  188324  12072  10076 S   0.0   0.4   0:00.58 pipewir+
   2160 sathvik+  20   0  699572   7200   6772 S   0.0   0.2   0:00.06 xdg-doc+
   2165 sathvik+  20   0  318744   6408   6004 S   0.0   0.2   0:00.03 xdg-per+
   2179 sathvik+  20   0  179572   6492   5992 S   0.0   0.2   0:00.01 gdm-way+
   2181 root      20   0    2936   2228   2224 S   0.0   0.1   0:00.00 fusermo+
   2185 sathvik+  20   0  165232   6552   6060 S   0.0   0.2   0:00.05 gnome-s+
   2256 sathvik+  20   0   97536   6500   6356 S   0.0   0.2   0:00.00 gcr-ssh+
   2257 sathvik+  20   0   98624   5508   5248 S   0.0   0.2   0:00.00 gnome-s+
   2259 sathvik+  20   0   10632   3868   3680 S   0.0   0.1   0:00.00 ssh-age+
   2266 sathvik+  20   0  324208   7464   7096 S   0.0   0.2   0:00.04 gvfsd
   2289 sathvik+  20   0  409804   7276   6864 S   0.0   0.2   0:00.00 gvfsd-f+
   2295 sathvik+  20   0  750280   8868   7920 S   0.0   0.3   0:00.09 gnome-s+
   2435 sathvik+  20   0  381288   6916   6652 S   0.0   0.2   0:00.02 at-spi-+
   2442 sathvik+  20   0    8688   4940   4600 S   0.0   0.1   0:00.06 dbus-da+
   2479 sathvik+  20   0  168860   6932   6244 S   0.0   0.2   0:00.01 at-spi2+
   2506 sathvik+  20   0  659520  13288  13288 S   0.0   0.4   0:00.24 gnome-s+
   2530 sathvik+  20   0 1289756  26972  25900 S   0.0   0.8   0:00.63 evoluti+
   2536 sathvik+  20   0 2681792  21396  17620 S   0.0   0.6   0:00.13 gjs
   2559 sathvik+  20   0    3948   2088   2088 S   0.0   0.1   0:00.01 bwrap
   2565 sathvik+  20   0  470816   8436   7396 S   0.0   0.2   0:03.60 ibus-da+
   2566 sathvik+  20   0    3948   1276   1276 S   0.0   0.0   0:00.00 bwrap
   2567 sathvik+  20   0  259752   7208   7028 S   0.0   0.2   0:00.03 gsd-a11+
   2568 sathvik+  20   0  257784   7312   6680 S   0.0   0.2   0:00.04 gsd-col+
   2569 sathvik+  20   0  266184   8592   8360 S   0.0   0.3   0:00.02 gsd-dat+
   2571 sathvik+  20   0  396340   7904   7288 S   0.0   0.2   0:00.11 gsd-hou+
   2572 sathvik+  20   0  394492   6740   6388 S   0.0   0.2   0:00.02 gsd-key+
   2573 sathvik+  20   0  212076   2200   2196 S   0.0   0.1   0:00.35 glycin-+
   2574 sathvik+  20   0  565668  10368   9556 S   0.0   0.3   0:00.13 gsd-med+
   2575 sathvik+  20   0  399412   8392   7636 S   0.0   0.2   0:00.05 gsd-pow+
   2576 sathvik+  20   0  332956  10396   9824 S   0.0   0.3   0:00.06 gsd-pri+
   2577 sathvik+  20   0  468408   6696   6516 S   0.0   0.2   0:00.03 gsd-rfk+
   2578 sathvik+  20   0  181256   6104   5968 S   0.0   0.2   0:00.02 gsd-scr+
   2579 sathvik+  20   0  478688  10344   9324 S   0.0   0.3   0:00.04 gsd-sha+
   2580 sathvik+  20   0  396832   7304   7084 S   0.0   0.2   0:00.03 gsd-sma+
   2581 sathvik+  20   0  266160   7948   7184 S   0.0   0.2   0:00.02 gsd-sou+
   2582 sathvik+  20   0  469264   6712   6536 S   0.0   0.2   0:00.03 gsd-usb+
   2583 sathvik+  20   0  401636   8228   8008 S   0.0   0.2   0:00.03 gsd-wwan
   2584 sathvik+  20   0  472172  10712   9408 S   0.0   0.3   0:00.08 gvfs-ud+
   2662 sathvik+  20   0  180636   6784   6784 S   0.0   0.2   0:00.01 ibus-me+
   2676 sathvik+  20   0  506088  15548  13668 S   0.0   0.5   0:02.48 ibus-ex+
   2697 sathvik+  20   0  404840  10096   8848 S   0.0   0.3   0:00.02 gsd-pri+
   2702 sathvik+  20   0       0      0      0 Z   0.0   0.0   0:00.00 sh
   2704 sathvik+  20   0 2745260  15572  15572 S   0.0   0.5   0:00.15 gjs
   2712 sathvik+  20   0  319960   7264   7028 S   0.0   0.2   0:00.03 ibus-po+
   2720 sathvik+  20   0       0      0      0 Z   0.0   0.0   0:00.12 snap
   2728 sathvik+  20   0  841972  35448  33252 S   0.0   1.0   0:00.49 evoluti+
   2734 sathvik+  39  19  744112  15036  12712 S   0.0   0.4   0:00.39 localse+
   2735 sathvik+  20   0       0      0      0 Z   0.0   0.0   0:00.22 ubuntu-+
   2744 sathvik+  20   0  401272   8492   7656 S   0.0   0.2   0:00.51 gvfs-af+
   2745 sathvik+  20   0  576448  23144  17000 S   0.0   0.7   0:00.51 update-+
   2749 sathvik+  20   0       0      0      0 Z   0.0   0.0   0:00.09 ubuntu-+
   2763 sathvik+  20   0  306284   7072   6420 S   0.0   0.2   0:00.02 gsd-dis+
   2788 sathvik+  20   0  320280   6764   6600 S   0.0   0.2   0:00.03 gvfs-gp+
   2812 sathvik+  20   0  319324   6900   6428 S   0.0   0.2   0:00.03 gvfs-mt+
   2824 sathvik+  20   0  319212   6656   6192 S   0.0   0.2   0:00.03 gvfs-go+
   2833 sathvik+  20   0  550132  16752  16748 S   0.0   0.5   0:00.14 goa-dae+
   2845 sathvik+  20   0  399196   8424   8336 S   0.0   0.2   0:00.03 goa-ide+
   2868 sathvik+  20   0  180756   7648   7060 S   0.0   0.2   0:01.23 ibus-en+
   2919 sathvik+  20   0  903424  18464  17544 S   0.0   0.5   0:00.17 evoluti+
   2934 sathvik+  20   0  165320   6080   5672 S   0.0   0.2   0:00.03 dconf-s+
   2935 sathvik+  20   0  770420  19540  19032 S   0.0   0.6   0:00.13 evoluti+
   2949 sathvik+  20   0  619380   8928   7736 S   0.0   0.3   0:00.04 gvfsd-t+
   2950 sathvik+  20   0  180288   6684   6424 S   0.0   0.2   0:00.02 gvfsd-m+
   2982 sathvik+  20   0  918920  17084  14268 S   0.0   0.5   0:00.29 xdg-des+
   2988 sathvik+  20   0  574644  26864  20788 S   0.0   0.8   0:00.37 xdg-des+
   3008 sathvik+  20   0   39140   2012   1520 S   0.0   0.1   0:00.16 snapd-d+
   3087 sathvik+  20   0 2801560  32348  25468 S   0.0   0.9   0:00.82 gjs
   3095 sathvik+  20   0  429408   4408   2076 S   0.0   0.1   0:00.16 snapd-d+
   3171 sathvik+  20   0  499112  18176  13472 S   0.0   0.5   0:00.11 xdg-des+
   3238 sathvik+  20   0   11.8g 575584 176948 S   0.0  16.8   7:29.09 firefox
   3366 sathvik+  20   0   21136    844    788 S   0.0   0.0   0:00.01 crashhe+
   3451 sathvik+  20   0  299084  18844  14420 S   0.0   0.5   0:00.24 forkser+
   3459 sathvik+  20   0  313480  29432  24800 S   0.0   0.9   0:00.04 Socket +
   3487 sathvik+  20   0 2747276 277852  81796 S   0.0   8.1   0:35.20 Privile+
   3493 sathvik+  20   0  456768  36476  31196 S   0.0   1.1   0:00.63 RDD Pro+
   3529 sathvik+  20   0 1439188   8584   3680 S   0.0   0.2   0:00.26 snap
   3686 sathvik+  20   0 2465428  76104  60164 S   0.0   2.2   0:01.37 WebExte+
   3998 sathvik+  20   0  448568  38708  32980 S   0.0   1.1   0:00.18 Utility+
   4006 sathvik+  20   0 2904808 275036  87480 S   0.0   8.0   1:29.19 Isolate+
   4634 root      20   0       0      0      0 I   0.0   0.0   0:03.57 kworker+
   4813 root      20   0  377032  31732  25336 S   0.0   0.9   0:00.54 fwupd
   5183 root      20   0       0      0      0 I   0.0   0.0   0:02.14 kworker+
   5321 root      20   0       0      0      0 I   0.0   0.0   0:01.77 kworker+
   5351 sathvik+  20   0 2967780 358636  95604 S   0.0  10.4   0:59.07 Isolate+
   5561 sathvik+  20   0 2945644 474800  98396 S   0.0  13.8   2:49.07 Isolate+
   5568 sathvik+  20   0 2423736  63800  53160 S   0.0   1.9   0:00.72 Web Con+
   5601 sathvik+  20   0 2423736  63468  53288 S   0.0   1.8   0:00.69 Web Con+
   5768 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5949 root      20   0       0      0      0 I   0.0   0.0   0:01.22 kworker+
   6206 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker+
   6291 sathvik+  20   0 2424456  64340  53648 S   0.0   1.9   0:01.29 Web Con+
   6381 root      20   0       0      0      0 I   0.0   0.0   0:00.80 kworker+
   6397 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6401 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6412 sathvik+  20   0 1628396 172412  61196 S   0.0   5.0   0:25.59 ptyxis
   6430 sathvik+  20   0       0      0      0 Z   0.0   0.0   0:00.00 xdg-ter+
   6438 sathvik+  20   0  240080   7672   7068 S   0.0   0.2   0:00.29 ptyxis-+
   6463 sathvik+  20   0   20952   4860   4276 S   0.0   0.1   0:00.10 bash
   6675 root      20   0       0      0      0 I   0.0   0.0   0:00.76 kworker+
   6696 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6734 root      20   0       0      0      0 I   0.0   0.0   0:00.84 kworker+
   6750 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6894 root      20   0       0      0      0 I   0.0   0.0   0:00.43 kworker+
   6918 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
   7050 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7098 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7099 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7111 root      20   0       0      0      0 I   0.0   0.0   0:00.39 kworker+
   7137 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7161 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
   7185 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
